ticket_system,title,overall_text,pros_text,cons_text,overall_rating,ease_of_use,customer_service,features,value_for_money,likelihood_to_recommend,Ticket Creation and Assignment,Automated Ticket Routing,Status Tracking and Updates,Priority and SLA Management,Customer and Agent Portals,Knowledge Base Integration,Email Notifications and Alerts,Reporting and Analytics,Customizable Workflows,"Multi-Channel Support (Email, Chat, Phone)"
Zoho Desk,One of the best investments for our organization,Great - and their customer service is great as well.,"We got this software after using another vendor for about two years. During that time we learned what our needs were and had Zoho Desk on our shortlist. The criteria that we used was:+ Easily integrate into the Knowledge Base (KB)+ KB easily integrates into tickets+ Tickets can be handled by multiple departments and permissions can be restricted to those departments+ Single Sign On (SSO) integration for customers+ A robust API+ ASAP(TM?) integration that we can dump onto our website, which allows us to point directly to a particular page in the KB+ A good mobile app (I personally use it on the iPhone)+ Customizable reporting~ A semi-workaround to integrate with Github (via Zoho Project)We're looking forward to Guided Conversations that's in development right nowWe look forward to additional releases","It can sometimes get too bloated on your browser because it has a lot of data under the hood, and search can be finicky at times - but it's quite manageable. The above would not impact me choosing this platform again.",5,5,5,5,5,10,1,1,0,0,0,1,-1,0,0,1
Zoho Desk,The best Ticket dealing with stage that is a business fundamental device,"Many highlights and various ways of communicating with potential client base. As a web engineer, coordinating it into my site was shockingly simple and smooth. We see a ton of potential for smoothing out our deals cycle decreasing information section errands while having the option to arrive at additional clients consistently, without the requirement for a meddlesome contact structure and call that a ton of the more youthful customers are staying away from in these business sectors.","There is no Work area application for Zoho Work area, a vital missing element. The alternate route symbol for Late things might have been set better, perhaps in the top header menu rather than in the footer. The footer menu should be more noticeable, as it is unrecognizable on more modest size screens.","The easy to use android and IOS applications are one of the most outstanding elements of Zoho Work area, which I like the most. Different highlights which I likewise respect are-It furnishes a basic gadget code with a couple of snaps once you choose to coordinate it with your site or application; you can undoubtedly follow your tickets in general and specialists from the dashboard interface; you can embed labels with each pass to bunch them into explicit classifications for examination and investigating.",4,4,4,4,5,10,-1,0,0,0,1,0,0,0,0,1
Zoho Desk,Shines above other products we had,"An awe-inspiring tool that allows us to use it in so many ways, as a helpdesk, as a tasks manager, and as a dispatch.It does well to do most of what other providers give you for very little cash.","It is easy to use, easy to deploy and easy for non-technical staff to get on board.The excellent mobile app allows for easy remote work.Mobile app support biometrics.","The email setup was clunky a few years ago, but better now.MFA is limited to a few suppliers.",5,5,3,5,5,9,1,0,0,0,1,0,-1,0,0,1
Zoho Desk,Zoho - One of the best ticket systems around,"The initial setup was quick and easy, and since then it has been very smooth. The team enjoy using the software, the customers are feeling the benefit of the reliable ticket features.","The best bit about the software is that my team enjoy using it. It's user friendly, and visually appealing. The setup was also very pain free. Couple hours and we were ready to go.",We miss the FAQ's section of our previous helpdesk supplier. This is so handy and is really something that needs adding to Zoho.,4,4,5,4,4,7,1,0,0,0,1,1,0,0,0,-1
Zoho Desk,Very easy of use and immediately documentations.,"We are happy because we also use Zoho CRM and then we have all the end users' info in one place. We can check all the tracking since the lead born and how we attended each customer, including help desk ticketing.",The replies that we receive from the end users are immediately registered on the tickets without need of wait a couple minutes or press F5 to update the page.,The conversations navigation. You have to scroll down to check the previous documentations and it gets some difficult to do because there are other help desk brands that allows you to change from one description to another by clicking on a button without need of scroll down.,4,5,,4,,8,1,0,1,0,1,-1,1,0,0,0
Zoho Desk,Zoho desk is a go!,"Pros:Email management, this was the whole reason the company I work for got Zoho desk. We have been using just a normal email provider and it made it hard for us to maintain accountability if a colleague did not sign the email with their name. Zoho desk made it easy to make sure the workload was evenly assigned and provided us with the ability to maintain accountability when errors were made with customer responses. When new emails came in it would assign it to whoever was working emails for that time being, if the person who got assigned the emails wasn't able to respond with or know the answer to the question the customer was asking it would be easy for them to reassign the emails to somebody else that would be able to respond correctly. The integration of Zoho desk was easy it didn't take us long to get the hang of it.","Cons:The one thing I least like about the whole task was the ability to merge tickets. We weren't able to really merge them as quickly and easily as we thought we would be able to, even though this might have been due to our Administration disabling the ability for us to do so, it would be nice if that option was just kept open.",Switched From:Gmail,4,3,5,5,,5,-1,0,0,0,0,0,1,0,0,0
Zoho Desk,Zoho Desk Is Best so Far,"Overall, zoho makes life easier. Ai assisted chats are helpful if you are set up properly. Most importantly, it is user friendly and you do not need special training to be able to set it up, thay have it all in their help page.Zoho also is not sensitive to IP addresses, it is accessible everywhere and is very helpful to companies that employ remote workers.","For more than 2 years, My company, Sweetberry Bowls, which is based in the US has been using Zoho Desk and so far the best we've tried. The most feature I like is the organization of tickets and your ability to correct AI responses. You will be able to review chats at a later time and you can reach out to customers using ZOho Desk if you need to and that for sure is really needed especially to customers whom you think did not get the right answer to their queries from your AI responses.Try and thank me later.","There is only 1 thing I did not like about Zoho desk. While the main thing I like the most is the ability to respond or reach out to clients at a later time when you think the customer did not get the answer they wanted, Zoho desk allows customers to input a fake email, this will make you not be able to respond at a later time because your message will not get through their inbox. In my experience, 1 out of 50 inputs fake emails though, so not a big deal for me.",5,5,5,4,5,9,1,0,0,0,1,0,1,0,0,-1
Zoho Desk,Everything runs on Zoho Desk,"The entire company uses Zoho Desk to manage our daily processes and report on our projects. We track our daily records with all the basic modules such as Contacts, Accounts and Transactions. We have customized most of these modules to better reflect our own internal processes, as this is easy to do in Zoho Desk. The built-in reporting features allow us to easily customize reports the way we want, giving us excellent business insights.","The reporting feature is very good. Similarly, the ability to create custom views in our module log gave us greater insight into key data stored in Zoho Desk. Integration with other Zoho applications is critical for us, and Zoho Desk acts as a hub for project tracking, communication and task tracking for our team. Most, if not all other Zoho applications are natively integrated with Zoho Desk. Zoho Desk is highly customizable. Zoho Desk is a must-have for anyone using the rest of the Zoho Desk platform. In addition, it acts as a tightly integrated hub with other Zoho applications. Making it the only Zoho application where our project users can log in to check emails, tasks, deal status, etc. on a daily basis. As administrators, it is critical that we optimize the way we configure Zoho Desk to provide the most useful information to our users while requiring the least amount of data entry from them.","Honestly, I can't say anything negative about Zoho Desk. One last thing to add is that Zoho Desk has so many features that it is difficult to configure each one to optimize our team's success. It is important to use the features that best reflect our company's internal processes. Integrate with Zoho Social or other social networking tools. This may be due to my lack of effort to make better use of this existing functionality. I would say some UI improvements, although this feature works with the upcoming canvas generator.",5,4,,5,5,10,-1,0,0,0,0,0,0,1,1,1
Zoho Desk,Efficient customer support management,"Zoho Desk has allowed us to effectively manage our security incidents and requests, providing quality support to our customers.","I like its customer-centric approach and the ability to create and customize specific incident handling workflows. Zoho Desk allows us to efficiently assign and track security issues, which helps us resolve them in a timely manner. It provides a complete view of our customers and allows us to provide more effective support. I also appreciate the reporting and analytics capabilities.","At times, it can be a bit limited in terms of fully accommodating our specific security needs.",5,5,5,5,4,10,1,0,1,0,1,0,0,1,-1,0
Zoho Desk,A quick support and quick acknowledgement,"Pros:Task management and ticket tracking and remote control, chat.","Cons:Less reports and task segregation, UI design",Alternatives Considered:FreshdeskandTeamSupport,5,4,4,4,5,8,1,0,1,0,0,0,0,-1,0,1
Zoho Desk,Very user-friendly support desk,Overall its a very good software in terms of usability. Happy with this.,User friendlyEasy to setupHandles almost all requirementsKnowledge base functionality is also goodGood Automation,"- Searchability of tickets is an issue. Search with ticket number and many other parameters does not work properly- Zoho changes it pricing/ features in certain tier to make us shift in pricing tiers. The features once subscribed should not be changed for old users. - Once started, switching this software is not possible because of so many support articles added in knowledge base",5,5,,5,5,8,1,0,-1,0,0,1,0,0,1,0
Zoho Desk,Easily deployable software that relates closely with our customers management needs.,User-friendly and reliable software. My experience so far is great and I would recommend it.,"A lot has been said about Zoho Desk but my experience is outstandingly genuine and worth sharing. Zoho gives live performance which is a big achievement for us. We are able to keep track of customers needs and satisfaction in real time. Adjustment is therefore effected immediately where need be. Apart from real time engagement, Zoho is quite affordable. With the much Zoho helps in achieving, it is worth our money and time over and over again. Other benefits of using Zoho Desk are, ease of customization, integration and implementation. Zoho is the real deal.","For the longest time I have used Zoho Desk, I have no complaints. Neither do anyone in my team. I only feel the greatness of it.",5,5,5,5,5,10,1,0,1,0,1,1,0,0,0,0
Zoho Desk,Basic but functional,"Aside from a few odd issues (mentioned previously) Zoho Desk does its job well. I wouldn't call the software outstanding by any means, but it doesn't get in the way of my job.","Important functions are where they need to be, and not hidden beneath submenus of submenus. The site is responsive, and I haven't encountered any major bugs.","Zoho Desk acts normal when a user submits a ticket via email, but when I have to make one myself it starts acting somewhat strange. First, you need a contact assigned to the ticket. Reasonable enough, but the contact list is always empty. However, entering the user's email address will produce a prompt stating that there's already a contact with that address. Auto-filling a user's info this way is (as far as I know) the only way to properly assign a ticket to a user in Zoho Desk.Once the ticket's created, there's no way to tell if it was made by the help desk or if it was submitted by the user. Since most of our tickets are submitted, this can result in some confusion when I have to make one myself and my co-worker assumes that the user wrote it.Lastly, settings can be a bit confusing to navigate. I don't have to use them often, but it takes some feeling around to find what I need.",4,5,,4,,7,1,-1,1,0,0,0,1,0,0,-1
Zoho Desk,Best data management tools i have come across,"excellent.I recently had the pleasure of using Zoho Desk, the customer service and helpdesk software. I found that the software was very intuitive and easy to use, with a well laid out dashboard that made navigation effortless. The various features, like ticketing system, knowledge base and customer self-service portal make managing customer data simpler. Furthermore, I found that I could customize the software easily, setting up automated workflows and add-ons to better suit my specific needs.","Some advantages of using Zoho Desk consist of intuitive navigation, a powerful search function, a vary of useful features, and complete customer support. Additionally, it offers robust integration support and scalability.","A drawback of using Zoho Desk is that its customization choices can be limited, the assist machine is no longer ideal, and the price can be too much for small businesses.",5,5,5,5,5,9,1,0,0,0,-1,1,1,0,1,0
Zoho Desk,As for the overall Zoho suite it easily integrates with multiple other extensions that are essential,Makes customer management extremely easy once you get going.,"Easy management and ticket assignment and that it works as an extension of other features and integrates perfectly with invoicing, CRM, etc. making the entire ZOHO Suite the preferred choice for all our ban and front end business needs. Since it can also integrate with many other programs, there is hardly any limit in how useful the overall Suite is and Zoho Desk is an essential part of that that allows us to track internal performance as well as overall customer interaction on a single platform.Training is well laid out and there are plenty of online resources to reference to get going.","There isn't that many... it takes a little getting used to, but once understood it is fairly straight forward.Ticket handling could be a little better, but the question is how to get customers to open new tickets rather than replying to old tickets, and it is not really a software issue.",5,5,4,5,4,10,1,-1,0,0,1,1,0,0,0,0
Zoho Desk,"With Zoho Desk, your organization offers the best omnichannel customer service.","The Technical Support team of a technology company is perhaps the part of the organization that is more in contact with end users, from here start all the requirements, fault reports and claims for the same provision of services, having a tool that allows direct contact with users by providing the means to approach our organization leaves very high quality of service and satisfaction of the same customers, Zoho Desk with the quality and multiplicity of functions allows both our team and the same customers to have a pleasant experience with the Technical Support group and incidentally with the organization which is left with an excellent impression to customers.","As a member of the Technical Support group I can say that we are facing one of the most complete tools and that facilitates our work with customers, allows automatically creating tickets for the different incidents that users present and thanks to the predefined rules of assignment to each role these tickets are assigned to each member of the different groups that make up technical support; We can as administrators create profiles and assign or remove members in a simple way; analyze the management times of the tickets which is a point of vital importance due to the different types of customers because it affects the service level agreement, real-time notifications to users of the tickets created and the evolution of the same, finally the integration with CRM allowing you to view customer data for future contacts.","Having a tool that allows us to be in contact with our customers regardless of the communication channel (chat, telephone, social networks, etc.) is to strengthen the commercial and social relationship between the two, Zoho Desk has fully met the expectations of a tool to create customer requests and for those cases where we have had some difficulty the technical support has intervened promptly, so far nothing negative I can say about the tool.",4,4,5,5,5,10,1,1,0,0,0,1,0,0,0,-1
Zoho Desk,"A really good product, complete and easy to use.","For our company our customers are the most precious asset, and their satisfaction is an extremely important aspect for us in which we work daily to maintain and even increase it as much as possible, we implement new techniques to favor customer relationships and generate trust and an overall exceptional experience while they are using our services, It is here where Zoho Desk takes the place and plays an important role because thanks to its implementation, we managed to improve response times to their requests, customer service agents can view and manage tickets more efficiently and easily, which has allowed us to respond to their queries quickly and effectively; This has undoubtedly led to a significant increase of approximately 40% in their satisfaction, we have really benefited from the use of Zohk Desk.","The UI is intuitive and has a great design, it is organized and very well defined which allows us to easily find what we are looking for, it is easy to use, it offers a set of tools that allow us to consolidate the support and customer service processes, the process to create and customize tickets as well as to add agents is easy, Zoho Desk is omnichannel which allows us to have different channels that facilitate and encourage communication with customers (we can communicate by chat, email, phone calls among others), Z. desk allows us to collaborate and converge between teams from different business functional areas in ticket management as required by the area involved to promote its evolution and closure. Desk allows us to collaborate and converge between teams from different functional areas of business in the management of tickets as required by the intervention of the area involved to promote their evolution and closure. The self-service function of Zoho Desk can offer customers useful tools and information so they can find answers to their questions and concerns by themselves and immediately, it integrates very well with other tools of daily use in the development of our business activities.","Really have been very minimal and exporadic the details that we have had when using this software, that in a general context can occur with any tool in which many factors can incudir many factors, so I have nothing negative to share, just highlight its effectiveness, efficiency and good performance.",5,5,5,5,5,10,1,0,0,0,1,0,0,0,0,1
Zoho Desk,Zoho maintains automated tickets that are easy to attend to,"Using Zoho Desk, I can see how quickly each issue is being responded to and make sure that our support staff isn't slacking off. From the perspective of the client, this appears more polished.","In order to improve support billing, we need to maintain tabs on tickets, have agents report how much time they spend on tickets, and monitor resource allocation on a per-client basis. We prefer using the social network aggregation tool to create support tickets. With the help of IA, we can now set up specialized divisions and generate tickets automatically.",Two more businesses using zoho confirmed that the email system and spf/dkim verification simply do not verify. No one here can confirm these parameters.,4,5,5,5,5,9,1,0,1,0,0,0,-1,1,0,0
Zoho Desk,Boost Your Customer Satisfaction Levels with Zoho Desk,"We were having a hard time managing customer service and support because customers could contact us through multiple channels and we didn't see how they were interacting with us. We were able to address these issues and streamline our customer support processes with the assistance of Zoho Desk.The capacity of Zoho Desk to incorporate multiple customer service channels into a single platform is one of its primary advantages. We can manage support tickets, phone calls, emails, messages on social media, and more with Zoho Desk. We can also manage our support operations more effectively with the help of a wide range of features and tools offered by Zoho Desk. We can use analytics and reporting tools to gain insight into our customer support performance, automate routine tasks, and create custom workflows.In general, Zoho Desk has assisted us in raising customer satisfaction, strengthening our relationships with them, and raising the standard of our customer support and service.","The unified platform of Zoho Desk is one of its best features. It gives me a single view of all customer interactions across channels like email, phone, chat, social media, and forums. This assists me with keeping steady over all client requests and guarantees that no client demand goes ignored.The ability to customize Zoho Desk is yet another great feature. I have been able to tailor the platform to our particular business requirements thanks to the capability to modify things like renaming tabs, adding new departments, and customizing email templates.","Although Zoho Desk offers a streamlined ticket management system, I've noticed that some tickets are lost or closed too quickly. This can impede the resolution of customer issues and frustrate both customers and service representatives.The reporting capabilities of Zoho Desk are yet another area for development. Although the platform offers scheduled and custom reports, I've found that the dashboard's reporting capabilities can be limited. Despite these drawbacks, I have found Zoho Desk to be an overall useful customer service management tool.",5,4,4,4,4,9,-1,0,-1,0,1,0,0,0,1,1
Zoho Desk,Fully ticketing and best helpdesk application system - Great Value for Great Features,"Overall, I found the Zoho Desk user interface to be great. It's easy to navigate and create tickets, which saved me a lot of time and effort. I would highly recommend this product to anyone looking for a good ticketing system.","We were looking for a ticketing solution that could help us manage customer enquiries, document and collaborate communication, as well as track and resolve customer issues. Zoho Desk is the perfect solution for our customer success team. It's integration with other Zoho products such as Contacts and Calendar, has really streamlined how we interact with our customers. Zoho Desk has a huge list of features, making it very configurable to our specific business needs. The price is very competitive, making it an excellent value.","It can be frustrating when we can't find the right functionality or how to implement it, so it would be helpful if advanced features were more accessible or if there were tips on how to use them. However, sometimes companies choose to only make these available at higher pricing tiers.",5,5,5,4,4,10,1,0,0,0,1,1,0,0,-1,1
Zoho Desk,"Zoho Desk: easy to use, customizable,and evolving service desk suite","We looked at a few others (Salesforce, FreshDesk, and others) and were surprised by many of the features. There were many Zoho branded products and services available that seemed to work well during testing. The interface and mobile apps were fairly intuitive and we were able to get a fully functional demo up and running in a matter of hours without much trouble. We evaluated it with other software at the same time, so let's compare how long it took us to get it up and running and use it functionally with other systems.",The initial setup wizard worked smoothly. Navigation through the configuration menus is simple and intuitive. The customer access portal home page is in place and ready for further customization of content. A clean design that displays the functions that are needed at this time.,"The initial 14-day trial period is fine for getting started, but trying to juggle a new set of desktop services and day-to-day work seems to work against the clock. A 30 to 45-day trial period would be excellent, as it allows you to become so familiar with the software that you are more willing to use it.",4,4,4,4,4,9,1,0,0,-1,1,0,0,1,0,0
Zoho Desk,The gold standard in customer service!,"Invaluable progress has been made in facilitating communication. Helping us more effectively assist and guide customers who have questions or concerns about our offerings. Because of the faster resolution of customer issues, we have also seen a rise of at least 10% in the number of new customers requesting our services.","Currently, we're using the Zoho Desk application to aid our customers and foster deeper connections between our products and services. And in this way, we can speed up the resolution of any issues or complaints our users may have inside the service.","If we were using an issue tracking application, the ability to drag and drop items across categories would be really helpful. To my knowledge, the ability to receive and transmit voice memos has also been introduced. What you propose is novel in the extreme.",5,4,5,5,4,8,1,1,0,1,0,0,-1,0,0,1
Zoho Desk,It helps improve the level and quality of support provided to clients.,"In short, Zoho Desk has enabled us to raise the level of the service center for assistance provided to our customers, and indeed, the response time has improved, and the distribution of tasks to team members has become easier. In addition to that, Zoho Desk has enabled us to better measure the extent of customer satisfaction with the services provided.","Zoho Desk enables us to efficiently provide support services to our customers, no matter how many products we offer so that we ensure that our customers get a unique experience and provide them with complete transparency through which they can follow up on their requests at all stages. I love the fact that automation with Zoho Desk enables us to provide optimal support to our customers, as we are able to create tickets and distribute them automatically to the appropriate departments to respond to them. I also like how Zoho Desk can be customized to receive calls, emails, SMS, and also through social media, and how the autoresponder can be customized to answer and direct customers and also provide them with a reference number for their ticket so they can follow it. The logs provided by Zoho Desk provide a complete summary of all inquiries received from customers and their times, so we can know their status and also measure the speed of response through them. I also like the fact that Zoho Desk enables us to identify shortcomings in our answering services so that we can make improvements to them. The control panel provides us with sufficient information for each member of the team, including tickets that he must answer, and through chatting, he can ask for help from colleagues, as well as communicate with the customer to request any inquiries.","I think that Zoho Desk, despite the great services it helps us with, needs more improvements, as well as more automation of functions, so that we can better control the service robot, so that it can provide more services to customers so that it shortens their time, and the alert system must be improved so that It sends alerts according to the priority or importance of the request.",5,5,5,5,5,10,1,1,1,0,1,0,-1,1,-1,0
Zoho Desk,Awesome Software,"Pros:Magnificent Software. Simplicity is under the most favorable conditions . The effortlessness to designing the product. Awesome method for working at the interface. Following of the ticket and the acceleration framework enables the organization to track and deal with the client issues on time . Zoho Desk is a help work area stage that enables organizations to convey top quality client support to their customers with instruments that expansion operator profitability and examination and reports that empower supervisors to discover enter issues in specialist exhibitions so they can enhance their administration also settle on keen business choices. Clients can likewise profit by Zoho Desk as the product enables them to discover convenient and important help without going too far. With Zoho Desk, organizations furnish their help groups with the best devices, various help channels, and assignment computerization so they can convey brisk and responsive help to their customers. This assistance work area stage assembles representatives from different divisions and engage them to give their clients an extremely brought together client benefit involvement. This administration totally supplanted the method of association with email, telephone calls, visits, informal communication stages on a solitary stage. This totally disentangles the way toward getting a demand for client bolster, due to this we have turned out to be speedier to serve our clients. What's more, clients can gather tickets in their local dialects, since such an open door is available. Incorporation Zoho Desk with Zoho CRM was a standout amongst other things that we finished for the current year. Reconciliation was speedy and effortlessly. Two administrations are just made for each other and have great reconciliation. The help group is basically incredible. Much obliged to all the folks who helped us with incorporation and did everything in the most brief conceivable time. Coincidentally, they are neighborly and active - it's pleasant to manage the expert.","Cons:Being quite a while client ,I haven't had any genuine doubts with Zoho Desk. Still couple of isssues are here . Ticket can't be copied, dynamic fields are not made yet so you can not discrete or shroud fields relying upon the specialist/ticket needs. We have not exactly made sense of how to sort everything like we were in our old framework. It is awesome to rearrange arranging capacities to evacuate spam. It would likewise be decent if the designers included programmed arranging of spam. A few associates grumbled that the interpretation into different dialects isn't great. We utilize the English form, so we don't have such issues. There are a couple of things around detailing that still need taking a shot at, my primary complain being 'business hours'. You can set up business hours (the long periods of the day/week you're open as a business) anyway when you attempt and report in view of this control, it doesn't work… So we have a report for normal and aggregate reaction times however it incorporates over-night and end of the week's into these numbers influencing it to seem as though we are extremely moderate at reacting!",,5,5,5,5,5,10,1,0,1,-1,1,0,0,0,-1,0
Zoho Desk,A lot better compared to similar tools in many aspects,"Zoho Desk is a pretty nice tool because it lets us bring all our customer service stuff together in one place. We can handle support tickets, calls, emails, and even social media messages right in Zoho Desk. It's got a bunch of handy features and tools that help us run support smoothly. We can check out how we're doing with analytics, automate boring tasks, and set up our own custom workflows. Long story short, Zoho Desk has made our customers happier, improved our relationships with them, and kicked our customer support game up a notch.","Zoho Desk is a pretty robust tool with loads of features. However, there's room for improvement in smoothing out a few things and making the process more user-friendly. Still, it's a handy asset for businesses in all sorts of industries. If you just need a simple email ticketing system, it's a breeze to use. But if you want to dive into the knowledgebase features, it's a good idea to take some time to get the hang of it and make the most of what it offers.","It can get quite annoying when we're unable to locate the desired functionality or figure out how to put it into action. Therefore, having advanced features made more user-friendly or accompanied by usage tips would be greatly beneficial.",5,5,5,5,4,9,1,1,0,0,0,1,-1,1,1,1
Zoho Desk,"Zoho Desk , herramienta de Ticketing para empresas medianas y grandes.","Es una herramienta muy buena para organizar las incidencias con los clientes. Permite una buena organización y priorización de los tickets, así como la creación de varios departamentos en función de la incidencia y prioridad.","Zoho Desk permite solventar las incidencias de los clientes con una gran facilidad, permite varias formas de solventar los tickets en función de las necesidades de tu empresa y tiene la posibilidad de crear varios departamentos para organizarlos en función de la incidencia o prioridad, permitiendo así trabajar hasta un número ilimitado de personas dentro de la misma herramienta, pudiendo trabajar de forma ordenada.","Si requieres de una estructura de ticketing con varias personas trabajando con la misma herramienta, seguramente necesitarás a algún partner Premium de Zoho para que te ayude con la consultoría e implementación de la herramienta, ya que las guías para implementarlo correctamente no son muy completas y seguramente no le saques el máximo partido sin que un profesional te lo implemente.",5,4,5,5,5,10,1,0,0,1,0,0,0,1,-1,0
Zoho Desk,"Zoho desk, herramienta para la atención al cliente, posventa y soporte","Genial, todos los tickets de la compañía se atienden en tiempo y forma, y permiten el dimensionamiento.",La facilidad de uso y su fácil integración a los canales de comunicación,"Que necesito a un partner Zoho para implementarlo al tener tantísimas funciones, pero merece la pena contactar con un partner premium y no perder el tiempo en la implementación",5,5,5,5,5,10,1,0,0,0,0,0,0,0,-1,1
